9001,جاری - خرید,طراحی و مهندسی صنایع پتروشیمی (پیدک),طراحی و خرید مجتمع متانول,0,354000000,0,354000000,1390/2/25,,,,,,,597,تا 99/02/20,,153982625,,15398262.5,,0,1398/10/16,98101470,,,,,,,"شيراز، بلوار باغ ارم، شماره 20 ",عبدالرضا مهربان,,,,,,,,,قرارداد,28/01/2022
9001-1,جاری - خرید,طراحی و مهندسی صنایع پتروشیمی (پیدک),الحاقیه 1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,الحاقیه,
9001-2,جاری - خرید,طراحی و مهندسی صنایع پتروشیمی (پیدک),الحاقیه 2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,الحاقیه,
9001-3,جاری - خرید,طراحی و مهندسی صنایع پتروشیمی (پیدک),الحاقیه 3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,الحاقیه,
9001-4,جاری - خرید,طراحی و مهندسی صنایع پتروشیمی (پیدک),الحاقیه 4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,الحاقیه,
9001-5,جاری - خرید,طراحی و مهندسی صنایع پتروشیمی (پیدک),الحاقیه 5,0,0,,,1392/12/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,الحاقیه,
9001-6,جاری - خرید,طراحی و مهندسی صنایع پتروشیمی (پیدک),الحاقیه 6,0,0,,,1394/7/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,الحاقیه,
9001-7,جاری - خرید,طراحی و مهندسی صنایع پتروشیمی (پیدک),الحاقیه 7,0,0,,,1395/12/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,الحاقیه,
9001-8,جاری - خرید,طراحی و مهندسی صنایع پتروشیمی (پیدک),الحاقیه 8,0,0,,,1398/07/02,1398/07/14,98-1/176,1398/07/09,28,ماه,1400/11/08,,,,,,,,,در حال اخذ,,,,,,,,,,,,,,,,,,الحاقیه,
9002,پایان یافته,زمیران ,خدمات مشاور ژئوتکنیک ,940366706,0,2207586298,,1390/7/27,,,1390/7/27,,,,تسویه حساب,قطعی,1784246143,,0.808233927,,,,,,,,,,,مفاصا دارد,,,,,,,,,,,قرارداد,
9002-1,پایان یافته,زمیران ,الحاقیه قرارداد 9002 (انجام باقیمانده خدمات ژئوتکنیک 9002),1267219592,0,,,1392/06/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,الحاقیه,
9003,پایان یافته,فرآیند سبز پاکان,خدمات مهندسی ارزیابی اثرات زیست محیطی طرح های توسعه,93750000,0,93750000,,1390/10/20,,,1390/10/20,,,,تسویه حساب,قطعی,93750000,,1,,,,,,,,,,,مفاصا دارد,,,,,,,,,,,قرارداد,
